#   N_BLOCK:  ACCEPTANCE:
          47    0.452607
          48    0.452535
          49    0.452462
          50    0.452391
          51    0.452321
          52     0.45225
          53     0.45218
          54    0.452111
          55    0.452042
          56    0.451967
          57    0.451898
          58    0.451826
          59    0.451754
          60    0.451685
          61    0.451615
          62    0.451547
          63    0.451478
          64    0.451408
          65    0.451341
          66    0.451273
          67    0.451204
          68    0.451136
          69    0.451065
          70    0.450996
          71    0.450926
          72    0.450858
          73    0.450786
          74    0.450715
          75    0.450647
          76    0.450575
          77    0.450505
          78    0.450436
          79    0.450364
          80    0.450296
          81    0.450226
          82     0.45016
          83    0.450093
          84    0.450026
          85     0.44996
          86    0.449894
          87    0.449825
          88    0.449754
          89    0.449686
          90     0.44962
          91    0.449553
          92    0.449484
          93    0.449416
          94    0.449347
          95     0.44928
          96    0.449211
          97    0.449142
          98    0.449076
          99    0.449012
         100    0.448947
           1    0.448793
           2    0.448716
           3    0.448637
           4    0.448562
           5    0.448486
           6    0.448406
           7    0.448329
           8    0.448251
           9     0.44817
          10    0.448093
          11    0.448017
          12    0.447942
          13    0.447868
          14    0.447789
          15    0.447712
          16    0.447637
          17     0.44756
          18    0.447483
          19    0.447404
          20    0.447329
          21    0.447249
          22    0.447175
          23      0.4471
          24    0.447024
          25    0.446949
          26    0.446874
          27    0.446796
          28    0.446724
          29    0.446651
          30    0.446578
          31    0.446501
          32    0.446423
          33    0.446348
          34    0.446271
          35    0.446197
          36     0.44612
          37    0.446045
          38    0.445969
          39    0.445897
          40    0.445825
          41    0.445747
          42    0.445672
          43      0.4456
          44    0.445529
          45    0.445456
          46    0.445384
          47    0.445311
          48    0.445237
          49    0.445163
          50    0.445092
          51    0.445017
          52    0.444943
          53    0.444868
          54    0.444794
          55    0.444718
          56    0.444646
          57    0.444573
          58    0.444498
          59    0.444424
          60    0.444355
          61    0.444283
          62    0.444212
          63    0.444138
          64    0.444063
          65    0.443991
          66    0.443918
          67    0.443847
          68    0.443776
          69    0.443707
          70    0.443634
          71    0.443563
          72    0.443492
          73    0.443423
          74    0.443353
          75    0.443281
          76    0.443212
          77    0.443139
          78     0.44307
          79    0.442998
          80    0.442926
          81     0.44286
          82    0.442789
          83    0.442718
          84    0.442648
          85    0.442576
          86    0.442506
          87    0.442436
          88    0.442367
          89    0.442297
          90    0.442227
          91    0.442157
          92    0.442089
          93    0.442019
          94    0.441948
          95    0.441877
          96    0.441806
          97     0.44174
          98    0.441671
          99    0.441604
         100    0.441538
           1    0.441377
           2      0.4413
           3    0.441221
           4    0.441137
           5    0.441055
           6    0.440973
           7     0.44089
           8     0.44081
           9    0.440731
          10    0.440651
          11    0.440572
          12    0.440495
          13    0.440414
          14    0.440335
          15    0.440253
          16    0.440174
          17    0.440095
          18    0.440019
          19    0.439942
          20    0.439864
          21    0.439784
          22    0.439707
          23    0.439633
          24    0.439553
          25    0.439473
          26    0.439395
          27    0.439317
          28    0.439238
          29    0.439163
          30    0.439086
          31    0.439012
          32    0.438936
          33    0.438858
          34    0.438784
          35    0.438707
          36    0.438627
          37    0.438552
          38    0.438477
          39    0.438402
          40    0.438327
          41    0.438251
          42    0.438175
          43    0.438097
          44    0.438023
          45    0.437945
          46    0.437871
          47    0.437795
          48    0.437717
          49    0.437641
          50    0.437564
          51    0.437487
          52     0.43741
          53    0.437334
          54    0.437259
          55    0.437183
          56    0.437108
          57    0.437036
          58    0.436964
          59     0.43689
          60    0.436818
          61    0.436741
          62    0.436665
          63    0.436593
          64    0.436518
          65    0.436446
          66    0.436372
          67    0.436299
          68    0.436226
          69    0.436151
          70    0.436077
          71    0.436003
          72    0.435929
          73    0.435857
          74    0.435785
          75    0.435713
          76    0.435642
          77    0.435568
          78    0.435495
          79    0.435418
          80    0.435341
          81    0.435268
          82    0.435196
          83    0.435123
          84    0.435051
          85    0.434978
          86    0.434905
          87    0.434832
          88    0.434761
          89    0.434688
          90    0.434617
          91    0.434542
          92    0.434472
          93    0.434399
          94    0.434329
          95    0.434259
          96    0.434187
          97    0.434116
          98    0.434048
          99    0.433974
         100    0.433903
           1     0.43374
           2    0.433656
           3    0.433574
           4    0.433494
           5    0.433414
           6    0.433332
           7    0.433251
           8    0.433171
           9    0.433089
          10    0.433008
          11    0.432926
          12    0.432844
          13    0.432764
          14    0.432686
          15    0.432606
          16    0.432524
          17    0.432442
          18    0.432359
          19    0.432282
          20    0.432201
          21    0.432118
          22    0.432037
          23    0.431956
          24    0.431877
          25    0.431798
          26    0.431719
          27    0.431641
          28     0.43156
          29     0.43148
          30    0.431399
          31     0.43132
