#   N_BLOCK:  ACCEPTANCE:
           4    0.441103
           5    0.441021
           6     0.44094
           7    0.440862
           8    0.440783
           9    0.440704
          10    0.440626
          11    0.440545
          12    0.440467
          13    0.440386
          14    0.440307
          15    0.440228
          16    0.440149
          17     0.44007
          18    0.439993
          19    0.439913
          20    0.439837
          21    0.439757
          22    0.439679
          23    0.439602
          24    0.439522
          25    0.439444
          26    0.439366
          27    0.439288
          28    0.439209
          29    0.439132
          30    0.439054
          31    0.438977
          32    0.438898
          33    0.438821
          34    0.438745
          35    0.438667
          36    0.438588
          37    0.438511
          38    0.438436
          39    0.438361
          40    0.438288
          41    0.438211
          42    0.438134
          43    0.438056
          44     0.43798
          45    0.437904
          46    0.437826
          47     0.43775
          48    0.437675
          49    0.437598
          50    0.437523
          51    0.437447
          52    0.437372
          53    0.437296
          54    0.437218
          55    0.437142
          56    0.437066
          57    0.436991
          58    0.436914
          59    0.436839
          60    0.436764
          61    0.436689
          62    0.436616
          63    0.436543
          64    0.436467
          65    0.436393
          66     0.43632
          67    0.436244
          68    0.436169
          69    0.436094
          70     0.43602
          71    0.435947
          72    0.435872
          73    0.435799
          74    0.435724
          75     0.43565
          76    0.435578
          77    0.435507
          78    0.435433
          79    0.435357
          80    0.435284
          81     0.43521
          82    0.435139
          83    0.435067
          84    0.434996
          85    0.434925
          86    0.434851
          87    0.434779
          88    0.434705
          89    0.434632
          90    0.434558
          91    0.434486
          92    0.434412
          93    0.434339
          94    0.434268
          95    0.434197
          96    0.434126
          97    0.434053
          98    0.433983
          99    0.433912
         100     0.43384
           1    0.433723
           2     0.43364
           3     0.43356
           4    0.433478
           5    0.433397
           6    0.433315
           7    0.433234
           8     0.43315
           9    0.433068
          10    0.432985
          11    0.432904
          12    0.432823
          13    0.432742
          14    0.432662
          15    0.432581
          16    0.432498
          17    0.432416
          18    0.432335
          19    0.432253
          20    0.432172
          21    0.432091
          22    0.432009
          23    0.431927
          24    0.431847
          25    0.431765
          26    0.431684
          27    0.431604
          28    0.431523
          29    0.431443
          30    0.431363
          31    0.431283
          32    0.431202
          33    0.431125
