# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        1.23759       0.505534       0.529966     0.00726777
        1.27955       0.507299       0.538199     0.00698592
         1.3215       0.555083        0.55175     0.00560387
        1.36345       0.516128       0.556827      0.0125241
         1.4054       0.540185       0.570378      0.0115554
        1.44736       0.526391        0.57349      0.0111124
        1.48931       0.548131       0.559144     0.00770444
        1.53126       0.546696       0.553119     0.00317643
        1.57321       0.537757       0.542701       0.013391
        1.61517       0.544599       0.539744     0.00585233
        1.65712       0.520542       0.532306     0.00707692
        1.69907       0.537757       0.535661     0.00807765
        1.74102         0.5137       0.543915      0.0113322
        1.78298        0.50443       0.516746      0.0116081
        1.82493        0.49516       0.506218     0.00584961
        1.86688       0.509948       0.500524     0.00718051
        1.90883       0.514583       0.478806      0.0105285
        1.95078       0.475517       0.466932     0.00740079
        1.99274       0.494609       0.460244      0.0123111
        2.03469       0.467682       0.446715     0.00999151
        2.07664       0.429941       0.423938     0.00521682
        2.11859       0.410298       0.409084     0.00570856
        2.16055       0.408974       0.405818     0.00922609
         2.2025       0.386572       0.382776      0.0103678
        2.24445       0.346844       0.343026       0.012169
         2.2864       0.329187       0.338479     0.00828464
        2.32836       0.330512       0.323449     0.00800994
        2.37031       0.314179       0.300054     0.00878449
        2.41226       0.287032       0.280631     0.00619866
        2.45421       0.271803       0.263924     0.00358033
        2.49617         0.2707       0.246642     0.00616407
        2.53812       0.275114       0.240816     0.00957121
        2.58007       0.248408       0.227507     0.00804075
        2.62202       0.212763       0.209916     0.00638237
        2.66397       0.212212       0.192833      0.0062137
        2.70593       0.190803       0.174206     0.00403561
        2.74788       0.154717       0.164649     0.00617607
        2.78983       0.147103         0.1556     0.00610842
        2.83178       0.142137       0.139047      0.0011413
        2.87374       0.126466       0.127901     0.00142763
        2.91569        0.12779       0.117108     0.00349214
        2.95764       0.113334       0.111568      0.0023087
        2.99959      0.0877318       0.103314     0.00463398
        3.04155        0.08718       0.101416     0.00571078
         3.0835      0.0894975      0.0899389     0.00526306
        3.12545      0.0718408      0.0777337     0.00574417
         3.1674      0.0713993      0.0754825     0.00377419
        3.20936      0.0587086      0.0615778     0.00222577
        3.25131      0.0570533      0.0612467     0.00249489
        3.29326      0.0478938      0.0537426      0.0019068
        3.33521      0.0536323      0.0478276     0.00147251
        3.37716      0.0492181      0.0419568     0.00184906
        3.41912      0.0424865      0.0375426     0.00250704
        3.46107      0.0482249      0.0349162      0.0035165
        3.50302      0.0384034      0.0323559     0.00292094
        3.54497      0.0221812      0.0299502     0.00432956
        3.58693       0.020857      0.0241897     0.00321908
        3.62888      0.0185396      0.0209894     0.00304473
        3.67083      0.0194224      0.0188706     0.00321887
        3.71278      0.0122493      0.0168401     0.00249462
        3.75474       0.019312      0.0182968     0.00263068
        3.79669      0.0116976      0.0136177     0.00161272
        3.83864      0.0103733      0.0105278     0.00100057
        3.88059      0.0075041     0.00999811     0.00198947
        3.92255     0.00860765      0.0101968     0.00181213
         3.9645     0.00805588     0.00734961    0.000824991
        4.00645     0.00220709      0.0052308     0.00102984
         4.0484     0.00220709     0.00501009    0.000754683
